"gene","PresAbs"
"Apbb2",1
"Apc",1
"Apc2",1
"Apcdd1",1
"Apeh",1
"Apex1",1
"Apex2",1
"Aph1a",1
"Aph1b",1
"Aph1c",1
"Api5",1
"Apip",1
"Apitd1",1
"Aplf",1
"Apln",1
"Aplp1",1
"Aplp2",1
"Apmap",1
"Apoa1",1
"Apoa1bp",1
"Apobec1",1
"Apobec2",1
"Apobec3",1
"Apobr",1
"Apod",1
"Apoe",1
"Apof",1
"Apoh",1
"Apol10b",1
"Apol6",1
"Apol7b",1
"Apol8",1
"Apold1",1
"Apom",1
"Apon",1
"Apoo",1
"Apoo-ps",1
"Apool",1
"Apopt1",1
"App",1
"Appbp2",1
"Appl1",1
"Appl2",1
"Aprt",1
"Aptx",1
"Aqp1",1
"Aqp11",1
"Aqp3",1
"Aqp4",1
"Aqp5",1
"Aqp7",1
"Aqp9",1
"Aqr",1
"Ar",1
"Araf",1
"Arap1",1
"Arap2",1
"Arap3",1
"Arc",1
"Arcn1",1
"Arel1",1
"Arf1",1
"Arf2",1
"Arf3",1
"Arf4",1
"Arf5",1
"Arf6",1
"Arfgap1",1
"Arfgap2",1
"Arfgap3",1
"Arfgef1",1
"Arfgef2",1
"Arfgef3",1
"Arfip1",1
"Arfip2",1
"Arfrp1",1
"Arg1",1
"Arg2",1
"Arglu1",1
"Arhgap1",1
"Arhgap10",1
"Arhgap11a",1
"Arhgap12",1
"Arhgap15",1
"Arhgap17",1
"Arhgap18",1
"Arhgap19",1
"Arhgap20",1
"Arhgap21",1
"Arhgap22",1
"Arhgap23",1
"Arhgap24",1
"Arhgap25",1
"Arhgap26",1
"Arhgap27",1
"Arhgap29",1
"Arhgap30",1
"Arhgap31",1
"Arhgap32",1
"Arhgap33",1
"Arhgap35",1
"Arhgap36",1
"Arhgap39",1
"Arhgap4",1
"Arhgap40",1
"Arhgap42",1
"Arhgap44",1
"Arhgap5",1
"Arhgap6",1
"Arhgap9",1
"Arhgdia",1
"Arhgdib",1
"Arhgdig",1
"Arhgef1",1
"Arhgef10",1
"Arhgef10l",1
"Arhgef11",1
"Arhgef12",1
"Arhgef15",1
"Arhgef17",1
"Arhgef18",1
"Arhgef19",1
"Arhgef2",1
"Arhgef25",1
"Arhgef26",1
"Arhgef28",1
"Arhgef3",1
"Arhgef33",1
"Arhgef37",1
"Arhgef39",1
"Arhgef4",1
"Arhgef40",1
"Arhgef5",1
"Arhgef6",1
"Arhgef7",1
"Arhgef9",1
"Arid1a",1
"Arid1b",1
"Arid2",1
"Arid3a",1
"Arid3b",1
"Arid4a",1
"Arid4b",1
"Arid5a",1
"Arid5b",1
"Arih1",1
"Arih2",1
"Arl1",1
"Arl10",1
"Arl11",1
"Arl13b",1
"Arl14ep",1
"Arl14epl",1
"Arl15",1
"Arl16",1
"Arl2",1
"Arl2bp",1
"Arl3",1
"Arl4a",1
"Arl4c",1
"Arl4d",1
"Arl5a",1
"Arl5b",1
"Arl5c",1
"Arl6",1
"Arl6ip1",1
"Arl6ip4",1
"Arl6ip5",1
"Arl6ip6",1
"Arl8a",1
"Arl8b",1
"Arl9",1
"Armc1",1
"Armc10",1
"Armc2",1
"Armc3",1
"Armc4",1
"Armc5",1
"Armc6",1
"Armc7",1
"Armc8",1
"Armc9",1
"Armcx1",1
"Armcx2",1
"Armcx3",1
"Armcx4",1
"Armcx5",1
"Armcx6",1
"Armt1",1
"Arnt",1
"Arnt2",1
"Arntl",1
"Arntl2",1
"Arpc1a",1
"Arpc1b",1
"Arpc2",1
"Arpc3",1
"Arpc4",1
"Arpc5",1
"Arpc5l",1
"Arpin",1
"Arpp19",1
"Arpp21",1
"Arr3",1
"Arrb1",1
"Arrb2",1
"Arrdc1",1
"Arrdc2",1
"Arrdc3",1
"Arrdc4",1
"Arrdc5",1
"Arsa",1
"Arsb",1
"Arsg",1
"Arsi",1
"Arsj",1
"Arsk",1
"Art2b",1
"Art3",1
"Artn",1
"Arv1",1
"Arvcf",1
"Arx",1
"Arxes1",1
"Arxes2",1
"As3mt",1
"Asah1",1
"Asah2",1
"Asap1",1
"Asap2",1
"Asap3",1
"Asb1",1
"Asb11",1
"Asb13",1
"Asb14",1
"Asb16",1
"Asb17",1
"Asb18",1
"Asb2",1
"Asb3",1
"Asb4",1
"Asb5",1
"Asb6",1
"Asb7",1
"Asb8",1
"Ascc1",1
"Ascc2",1
"Ascc3",1
"Ascl1",1
"Ascl3",1
"Ascl4",1
"Asf1a",1
"Asf1b",1
"Ash1l",1
"Ash2l",1
"Asic1",1
"Asic2",1
"Asic3",1
"Asic4",1
"Asl",1
"Asmt",1
"Asna1",1
"Asns",1
"Asnsd1",1
"Aspa",1
"Aspdh",1
"Aspg",1
"Asph",1
"Asphd1",1
"Asphd2",1
"Aspm",1
"Aspn",1
"Asprv1",1
"Aspscr1",1
"Asrgl1",1
"Ass1",1
"Aste1",1
"Astn1",1
"Astn2",1
