"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","logP"
"Cks1b","0.910814475135626","-4.61805990382737","3.79005239292864","0.223045943014335",NA,"0.7"
"Cks1brt","0.238076383180384","-2.47234893258478","5.32835615519428","0.642648864806719",NA,"0.2"
"Cks2","0.203564410523808","-1.54857317491558","5.35723420050815","0.772533883524895",NA,"0.1"
"Clasp1","95.9107106425114","0.571050709415884","0.625902861819325","0.361577578853261","0.811174680812299","0.4"
"Clasp2","213.783413182464","-0.409596575141212","0.423904236031134","0.333920152654707","0.789952516841016","0.5"
"Clasrp","74.3840054391388","-1.14068239636703","0.610775957274142","0.0618184816694212","0.490219206936504","1.2"
"Clca1","0.108989177005162","-1.54864942298587","5.35723158489874","0.772522884132654",NA,"0.1"
"Clca3a1","1.84213763495587","3.25385553585157","2.86369972663431","0.255855351174522",NA,"0.6"
"Clca3a2","1.58698771710738","-0.100812797115647","3.19955556951862","0.974864113079096",NA,"0"
"Clcc1","9.97076358157486","-0.0938881491681866","1.2491574797028","0.940086471468896","0.989069508006004","0"
"Clcf1","0.462355053830818","-1.00380458236203","5.24969012770396","0.848359378022416",NA,"0.1"
"Clcn1","1.59626876689388","2.31722026331998","3.0026847059449","0.440282566798307",NA,"0.4"
"Clcn2","75.2173619200758","-0.887792070836739","0.563307049645747","0.11501755536018","0.585387806403378","0.9"
"Clcn3","164.711604147235","0.0332875779355915","0.423998833714689","0.937423446194655","0.988426700322791","0"
"Clcn4","189.621837617236","-0.219408182796137","0.354768139314738","0.536275353490539","0.883624194619113","0.3"
"Clcn5","7.17186966354078","0.846935061474593","1.29801107796411","0.514087201964881","0.875939557091365","0.3"
"Clcn6","86.3048634296479","-0.450280417214098","0.512363278036346","0.379493248390105","0.820714990203941","0.4"
"Clcn7","55.275774325132","0.910086023115638","0.621107143868665","0.142848867029119","0.628761723997348","0.8"
"Cldn10","9.89571546083751","1.86824316612313","1.342881260115","0.164158746939634","0.653528614555212","0.8"
"Cldn11","30.2288701368006","-0.0724318254853967","0.804041621912823","0.928219929958588","0.986501846020378","0"
"Cldn12","25.7459943000872","-0.790073483247567","0.840291273383879","0.347095678951765","0.802182668759437","0.5"
"Cldn15","0.159116534504287","0.788314195324792","5.31858467808599","0.882170101868193",NA,"0.1"
"Cldn19","2.25757278115579","-1.34516387632264","1.97807516894576","0.496481170116207",NA,"0.3"
"Cldn20","0.492940176073044","0.606065804015546","5.32192498351596","0.909332177278091",NA,"0"
"Cldn22","2.02699627469272","-1.54855755153897","5.35723438535225","0.772536122829083",NA,"0.1"
"Cldn23","0.134532424595278","0.605920951939832","5.32192040137245","0.909353676046841",NA,"0"
"Cldn3","0.341210969703912","-1.54883293484427","5.35722441066476","0.772496374924904",NA,"0.1"
"Cldn34c1","5.36183412378907","2.47203136570476","1.57003751545304","0.115370827810897",NA,"0.9"
"Cldn34c2","0.105974120616189","0.327398985485385","5.3278695978848","0.95100062425448",NA,"0"
"Cldn5","7.98168058063023","0.539869947896397","1.34734068976787","0.688646184331059","0.933769183842263","0.2"
"Cldn6","0.0576567533979764","-0.274434886457105","5.34134689837849","0.959023246108052",NA,"0"
"Cldn7","0.325793122842522","1.22309089083096","5.31211072512716","0.817900817287546",NA,"0.1"
"Cldn8","0.0940306068450456","-1.54865970932064","5.35723123098359","0.77252140020601",NA,"0.1"
"Cldnd1","32.8332515051433","0.427416957756115","0.706543788445552","0.545218527062809","0.887967064477069","0.3"
"Clec11a","6.43368323606745","-1.64284882202971","1.55813787359535","0.291715022586947","0.760849713395321","0.5"
"Clec14a","0.960289101122772","-0.846879709818198","3.45669566105917","0.8064588342209",NA,"0.1"
"Clec16a","101.069558053701","-0.66149813008373","0.44664326707449","0.138594968704794","0.625203294975255","0.9"
"Clec18a","1.25632261949122","1.13802392452235","3.31931381571246","0.731711947070684",NA,"0.1"
"Clec1a","0.340603197044258","-2.92166805020978","5.31954733499629","0.582845933321576",NA,"0.2"
"Clec2d","0.486850763022579","1.85152097594329","5.1520778711678","0.719315591957926",NA,"0.1"
