"","gene","pvalue","lfc","padj","direction"
"12322","Rph3a",1.76568430613124,2.26448609634855,0.017152036565743,"DISS"
"12324","Rpia",0.0387914104471753,0.563405004513963,0.914552391120004,"neither"
"12325","Rpl10",0.999126941595381,1.84591755653276,0.100201231325798,"neither"
"12326","Rpl10-ps3",0.0338077424617325,0.250017233259869,0.925107618585754,"neither"
"12327","Rpl10a",0.535402687288272,0.894027309165854,0.291472316595524,"neither"
"12328","Rpl11",1.20098601759778,0.96460126120349,0.0629526450557366,"neither"
"12329","Rpl12",0.171241284663368,0.495804247078664,0.674153378532111,"neither"
"12330","Rpl13",0.619943238843537,0.874710827876815,0.239914646071671,"neither"
"12332","Rpl13a",0.734868297124187,0.930224338338232,0.184133031326012,"neither"
"12333","Rpl14",0.281859848826244,0.606333265499419,0.52256479867963,"neither"
"12334","Rpl15",0.50767396737331,0.563215772340691,0.310689111152601,"neither"
"12335","Rpl17",0.946889282204276,1.00717610034558,0.113008397833631,"neither"
"12336","Rpl18",1.15025983015701,1.03509481681223,0.0707522360515441,"DISS"
"12337","Rpl18a",1.01793645285203,0.951216315065736,0.0959541023892745,"neither"
"12338","Rpl19",0.751587931017878,0.817818174552779,0.177178927703196,"neither"
"12339","Rpl21",0.521489883205886,0.824283111148086,0.300960927624055,"neither"
"12341","Rpl22",0.846404491742109,0.965978528328927,0.142428043410806,"neither"
"12342","Rpl22l1",0.0695597965574587,0.302299097563181,0.852001194102623,"neither"
"12343","Rpl23",1.09589578739749,1.22510124648869,0.0801870455843269,"DISS"
"12344","Rpl23a",1.13269305440329,1.00280000637794,0.0736727609293197,"DISS"
"12346","Rpl24",0.204632441784475,0.631894694473015,0.624262946970857,"neither"
"12347","Rpl26",2.49246097144358,1.27011058892883,0.00321765167903005,"DISS"
"12348","Rpl27",0.0605661894849927,0.845213348454157,0.86982885502463,"neither"
"12349","Rpl27-ps3",0.337651468083717,0.88301663876333,0.459566678355994,"neither"
"12350","Rpl27a",0.390137382153868,0.854892424030511,0.407251429911329,"neither"
"12351","Rpl28",1.80932955691003,1.16984163874414,0.01551209454573,"DISS"
"12352","Rpl29",2.04261499400796,1.16207502188944,0.00906535897065061,"DISS"
"12353","Rpl3",0.230493848010176,0.425159446458933,0.588174445857413,"neither"
"12354","Rpl30",0.834943867613809,1.05674623199803,0.146236617247902,"neither"
"12355","Rpl31",1.13269305440329,1.08527242720484,0.0736727609293197,"DISS"
"12356","Rpl32",1.38517088911451,1.33448464838446,0.0411935396091792,"DISS"
"12357","Rpl34",0.327567997296249,0.828531285761175,0.470361755626993,"neither"
"12358","Rpl35",0.564276531999663,1.0970853196224,0.272724069079215,"neither"
"12359","Rpl35a",1.02475265060448,1.46824599769337,0.0944598712724703,"DISS"
"12360","Rpl36",0.929289489595048,1.1236400777602,0.117682127305448,"neither"
"12361","Rpl36a",2.04261499400796,1.56950175274947,0.00906535897065061,"DISS"
"12362","Rpl36al",0.134282754305018,0.623362632677687,0.734035806904449,"neither"
"12363","Rpl37",0.588971829279765,1.05772255162092,0.257648827673237,"neither"
"12364","Rpl37a",0.891029235967725,1.1294034392411,0.128520013953844,"neither"
"12365","Rpl38",0.343974170828631,1.01714623214069,0.452924516274126,"neither"
"12366","Rpl39",0.653579900315594,1.35280182031428,0.222034315318752,"neither"
"12369","Rpl4",0.293799794426795,0.504001735327906,0.508393753172508,"neither"
"12370","Rpl41",0.878192569224891,1.19353573900704,0.132375444302235,"neither"
"12371","Rpl5",1.38032636437964,0.84775314084966,0.0416556231413019,"neither"
"12372","Rpl6",0.838664243097266,0.876454326349739,0.144989234494568,"neither"
"12374","Rpl7",0.934762775621361,1.15604748862607,0.116208320442473,"neither"
"12375","Rpl7a",0.384272615834815,0.675759221528491,0.412788304694492,"neither"
"12378","Rpl7l1",0.0352412330290258,0.260340821416169,0.922059118317075,"neither"
"12379","Rpl8",0.588862100227832,0.789806962208143,0.257713933574012,"neither"
"12380","Rpl9",0.378869417726746,0.770918511008132,0.417956017431646,"neither"
"12383","Rplp0",0.630017837793905,0.770974852507798,0.234413253269724,"neither"
"12384","Rplp1",1.13099327735069,1.12725377926747,0.0739616723846055,"DISS"
"12385","Rplp2",0.438128890840277,0.909387687628641,0.364645710535353,"neither"
"12386","Rpn1",0.0147880434526167,0.0812608411046736,0.966522473246986,"neither"
"12387","Rpn2",0.0529331851995744,0.185338033353537,0.885251792478049,"neither"
