"","gene","pvalue","lfc","padj","direction"
"164","Hap1",1.13527211239316,-1.62146545052191,0.0732365516993706,"DG"
"275","Pcnx2",1.13795543046762,1.73786588258718,0.0727854496874369,"CA1"
"439","Ypel4",1.13795543046762,-1.44446925505566,0.0727854496874369,"DG"
"47","C2cd4c",1.13883157092586,-2.33821364438402,0.0726387612112157,"DG"
"59","Card10",1.1549444752059,-4.02169136916577,0.0699931476915576,"DG"
"309","Prkca",1.15677777283249,1.64841884267519,0.069698306699824,"CA1"
"316","Psd3",1.15750284729462,1.38036117152117,0.0695820392791026,"CA1"
"323","Pvalb",1.16759878262307,3.739673918103,0.0679831396097167,"CA1"
"427","Ttn",1.18013655125406,-3.66099224475416,0.0660485744845733,"DG"
"74","Cfap100",1.18277766508425,2.88374848739658,0.0656481262630872,"CA1"
"305","Ppp1r16b",1.18371641739828,-1.21712065315622,0.0655063773450725,"DG"
"298","Plpp6",1.19186982822615,2.15636653973821,0.0642880379997929,"CA1"
"4","Actr3b",1.2076358909358,1.40001334364463,0.06199606273465,"CA1"
"8","Adamtsl2",1.2076358909358,-4.53150386944487,0.06199606273465,"DG"
"401","Tenm4",1.2076358909358,1.89545001360508,0.06199606273465,"CA1"
"254","Nek6",1.21511043343314,-1.96069116933058,0.0609381922453635,"DG"
"347","Sbk1",1.21604987250254,1.37561897343125,0.0608065169691423,"CA1"
"438","Ypel3",1.21824018550244,-1.17809190978521,0.0605006185019891,"DG"
"141","Gaa",1.21877634955103,1.2464731974662,0.0604259727429351,"CA1"
"147","Galnt9",1.21877634955103,1.96261465131794,0.0604259727429351,"CA1"
"162","Grm5",1.22467846660214,1.12110257353731,0.0596103310057948,"CA1"
"202","L1cam",1.22467846660214,1.54236119492827,0.0596103310057948,"CA1"
"56","Camkk2",1.22826993695895,1.08030019743781,0.0591194061619612,"CA1"
"333","Raver2",1.22959554887612,1.68526820084302,0.0589392290945147,"CA1"
"324","Qdpr",1.23167396867815,-1.45408750800798,0.0586578352352153,"DG"
"348","Sema3a",1.23167396867815,4.3778082599077,0.0586578352352153,"CA1"
"12","Adgrb3",1.23391245781645,1.17464885209286,0.0583562723098457,"CA1"
"98","Ctnnd2",1.2340278428053,1.14735677994754,0.0583407700557142,"CA1"
"354","Serpini1",1.23531743681212,1.62473842347158,0.0581677899275299,"CA1"
"312","Prkd1",1.23703053887753,-2.50714422693542,0.0579387953381311,"DG"
"134","Fosb",1.24131980887253,-1.5652758791336,0.0573693845849991,"DG"
"28","Arhgap12",1.2449090176308,2.3279810892989,0.0568972114971595,"CA1"
"87","Cpne4",1.2449090176308,-4.64847865845724,0.0568972114971595,"DG"
