"","gene","pvalue","lfc","padj","color"
"11205","Ppp1r37",0.10087593232075,0.311289083013966,0.792727761740146,"none"
"11207","Ppp1r3c",0.0392720476705553,0.325244150134243,0.913540808442294,"none"
"11208","Ppp1r3d",0.0188701712875153,-0.287644784511267,0.957480259252174,"none"
"11209","Ppp1r3e",0.0640800355688015,-0.771745849801832,0.862819525219168,"none"
"11210","Ppp1r3f",0.367533422749381,-1.2661343101084,0.429009171969749,"none"
"11213","Ppp1r7",0.0690202200107037,-0.305336592249172,0.853060396055231,"none"
"11214","Ppp1r8",0.00256678187759367,-0.0402896501865807,0.994107197385331,"none"
"11215","Ppp1r9a",0.601428028247243,-0.885638361764614,0.25036405200292,"none"
"11216","Ppp1r9b",0.103233862624707,0.347701864482025,0.788435439795726,"none"
"11217","Ppp2ca",0.0219192460647815,0.0753839674487321,0.950781568214844,"none"
"11218","Ppp2cb",0.0199489095988137,0.113289531416776,0.955104937954006,"none"
"11219","Ppp2r1a",0.0753275139469796,-0.197781823477075,0.840760860588707,"none"
"11220","Ppp2r1b",0.744656455636742,1.43852399605675,0.180029445717587,"none"
"11221","Ppp2r2a",0.00410109745019798,-0.0351667752114896,0.99060132044518,"none"
"11222","Ppp2r2b",0.0188956690406189,0.187731101055053,0.957424046521843,"none"
"11223","Ppp2r2c",0.12821564771551,0.38253525323716,0.744362271113414,"none"
"11224","Ppp2r2d",0.00711703449263101,0.0611123302664566,0.983745968326755,"none"
"11225","Ppp2r3a",0.438297046087824,1.42469040261187,0.364504550048466,"none"
"11226","Ppp2r3c",0.0508672513038058,-0.441482887019667,0.889472957211682,"none"
"11227","Ppp2r3d",0.0510729482720043,0.329271319428874,0.889051771641756,"none"
"11228","Ppp2r5a",0.00115676352245127,0.0142751952301679,0.997339997649595,"none"
"11229","Ppp2r5b",0.162333830263867,0.441460011336873,0.688123151596192,"none"
"11230","Ppp2r5c",0.0186222911057734,0.121492139269728,0.958026911664938,"none"
"11231","Ppp2r5d",0.0594843800320073,-0.225666176892178,0.871998263278975,"none"
"11232","Ppp2r5e",0.00354136691532763,0.0357614927868588,0.991878857442512,"none"
"11233","Ppp3ca",0.430413326230678,-0.650795115424012,0.371181800237475,"none"
"11234","Ppp3cb",0.369057321211887,-0.472110949181225,0.427506457146641,"none"
"11235","Ppp3cc",0.00354136691532763,-0.0696080973204412,0.991878857442512,"none"
"11236","Ppp3r1",1.31572810777978,-0.68495173008165,0.048336131809109,"HOMO"
"11237","Ppp4c",0.0678045172195145,-0.383068820590868,0.855451678500766,"none"
"11238","Ppp4r1",0.0800176156625351,0.804925824384425,0.831730034149153,"none"
"11239","Ppp4r2",0.0278207139953289,-0.192779739499993,0.937949132376603,"none"
"11240","Ppp4r4",0.542279491053111,-1.22808657837832,0.286893367998572,"none"
"11241","Ppp5c",0.150336181338462,-0.455455857454032,0.707397985414795,"none"
"11242","Ppp6c",0.0280386264529688,-0.181389228143788,0.937478623217723,"none"
"11243","Ppp6r1",0.156815125705252,0.450030262027945,0.696923123339373,"none"
"11244","Ppp6r2",0.0278207139953289,-0.186356518850068,0.937949132376603,"none"
"11245","Ppp6r3",0.00487428841911501,-0.0442524040816742,0.988839284247878,"none"
"11246","Pprc1",0.033888749783625,-0.249348035558118,0.924935077821327,"none"
"11247","Ppt1",0.100905986763362,-0.335065942521424,0.792672904569137,"none"
"11248","Ppt2",0.0118643528934516,0.0922913416132982,0.973051098130826,"none"
